"",rat,gtyp,age,sex,treatment,bp_baseline,bp_change,bp_injected,log_bp_baseline,log_bp_injected,log_bp_baseline_std,log_bp_change
408,20241022a,fa/+,Adult,F,Vehicle,130.69278,4.174990000000008,134.86777,4.872849378094389,4.904294816951499,0.6324512662571246,0.03144543885710949
449,20241022b,fa/fa,Adult,M,Vehicle,129.76086,6.871039999999994,136.6319,4.8656932179653625,4.917290448423655,0.5410633356212524,0.051597230458292564
479,20241023a,fa/+,Adult,M,Vehicle,120.41127,1.7667299999999955,122.178,4.790913133145241,4.805478997796433,-0.41391769907722725,0.014565864651191696
517,20241023b,fa/fa,Adult,F,Vehicle,126.77146,1.839880000000008,128.61134,4.842385937804723,4.85679498832021,0.24341710297314645,0.014409050515487465
548,20241024a,fa/fa,Adult,F,Vehicle,134.8544,3.927030000000002,138.78143,4.904195677900296,4.932900249496714,1.032760010150919,0.028704571596417594
594,20241025a,fa/fa,Adult,F,Vehicle,126.63602,9.293649999999985,135.92967,4.841316987409915,4.912137619624059,0.2297660439173715,0.07082063221414447
625,20241028a,fa/fa,Adult,M,Vehicle,115.94277,8.784350000000003,124.72712,4.75309670729429,4.826128310996914,-0.8968533573425211,0.07303160370262418
659,20241029a,fa/fa,Adult,M,Vehicle,123.82638,9.242070000000012,133.06845,4.81888042317295,4.890863657483004,-0.05676068818831473,0.07198323431005349
701,20241029b,fa/+,Adult,F,Vehicle,137.77512,1.8241100000000188,139.59923,4.925622790754222,4.938775674553748,1.3063955168913028,0.013152883799525839
746,20241029c,fa/+,Adult,F,Vehicle,119.859856,8.397623999999993,128.25748,4.786323193627682,4.8540398059368695,-0.47253364208164794,0.06771661230918724
788,20241030a,fa/fa,Adult,F,Vehicle,116.84752,12.78110000000001,129.62862,4.760869836968454,4.864673592871417,-0.7975864009471826,0.10380375590296254
814,20241030b,fa/fa,Adult,F,Vehicle,113.0837,4.97993000000001,118.06363,4.728128252488186,4.7712237164176186,-1.2157136643736222,0.043095463929432754
0,20240813a,fa/fa,Young,M,Empa,101.46493,-0.4405500000000018,101.02438,4.619713221535627,4.615361873850927,-2.6002306609107,-0.004351347684700357
30,20240814a,fa/fa,Young,M,Empa,130.18492,-7.15937000000001,123.02555,4.868955901254009,4.812392057378098,0.5827295181400323,-0.05656384387591107
70,20240815a,fa/+,Young,F,Empa,130.234,4.27122,134.50522,4.869332832396962,4.901603008697712,0.5875431271881273,0.032270176300749576
126,20240815b,fa/fa,Young,F,Empa,110.77248,6.332965999999999,117.105446,4.707478368011629,4.763074776780996,-1.479423555733894,0.055596408769366334
179,20240816a,fa/fa,Young,F,Empa,113.91038,-2.3231600000000014,111.58722,4.735411998873248,4.714806527260706,-1.122696390108422,-0.02060547161254256
229,20240816b,fa/+,Young,F,Empa,121.50594,3.77234,125.27828,4.799963150474469,4.830537502901758,-0.29834421538976424,0.030574352427288787
289,20240820a,fa/+,Young,M,Empa,121.049126,1.7333440000000024,122.78247,4.796196463201042,4.810414253079945,-0.3464467940163565,0.014217789878903098
343,20240820b,fa/fa,Young,M,Empa,107.108246,-17.771209999999996,89.337036,4.673839967953911,4.492416138745006,-1.9090036260158896,-0.18142382920890476
388,20240821a,fa/fa,Young,M,Empa,125.03416,-3.307140000000004,121.72702,4.828586979968123,4.801780996714395,0.06719714997021803,-0.02680598325372774
433,20240821b,fa/+,Young,M,Empa,127.9787,-1.5200900000000104,126.45861,4.851863843822561,4.839915060952156,0.36445495038214665,-0.011948782870405239
486,20240822b,fa/+,Young,M,Empa,130.21016,2.704640000000012,132.9148,4.869149760524153,4.889708321445181,0.5852052030343938,0.020558560921028146
550,20240823a,fa/fa,Young,F,Empa,115.70681,-0.018456000000000472,115.688354,4.75105949158591,4.750899972262169,-0.9228696739831374,-0.0001595193237413639
598,20240823b,fa/fa,Young,F,Empa,127.79612,3.220709999999997,131.01683,4.85043618154516,4.875325788231609,0.3462229518206111,0.024889606686448573
656,20240826a,fa/+,Young,M,Empa,118.99778,2.1632899999999893,121.16107,4.779104837475329,4.797120817417499,-0.5647158486648275,0.018015979942169302
0,20241011a,fa/+,Adult,F,Empa,140.21898,4.9657700000000204,145.18475,4.943205343469095,4.978007069326707,1.5309339675320002,0.0348017258576121
53,20241011b,fa/+,Adult,F,Empa,139.63004,5.984739999999988,145.61478,4.938996353425451,4.980964641599705,1.4771829497766293,0.04196828817425402
111,20241014a,fa/+,Adult,F,Empa,137.18207,3.470749999999981,140.65282,4.9213090216205435,4.946294584503802,1.2513064150182596,0.02498556288325826
173,20241014b,fa/+,Adult,M,Empa,129.43657,-1.6367199999999826,127.79985,4.8631909541951766,4.8504653682338255,0.5091081105089952,-0.012725585961351094
211,20241015a,fa/+,Adult,M,Empa,127.49152,2.96623000000001,130.45775,4.848049852582684,4.87104941955358,0.3157482752112119,0.022999566970895557
259,20241015b,fa/+,Adult,M,Empa,124.54905,-0.8948699999999974,123.65418,4.824699614220249,4.817488798491072,0.017553443720266886,-0.0072108157291763675
299,20241021a,fa/fa,Adult,M,Empa,93.157814,-8.290099999999995,84.867714,4.534294979734392,4.441093738305992,-3.691066558378407,-0.09320124142840047
344,20241021b,fa/+,Adult,F,Empa,134.61313,2.9376800000000003,137.55081,4.902404960744335,4.923993376120966,1.0098916097396928,0.021588415376630365
382,20241022a,fa/+,Adult,F,Empa,129.11429,4.201209999999975,133.3155,4.86069798111505,4.892718499494543,0.47727153239783454,0.03202051837949327
438,20241022b,fa/fa,Adult,M,Empa,134.40591,-2.2786800000000085,132.12723,4.900864400336541,4.883765322004451,0.9902178426426138,-0.017099078332090123
458,20241023a,fa/+,Adult,M,Empa,123.2663,1.4685899999999918,124.73489,4.814347055699637,4.826190605051248,-0.11465417641779622,0.011843549351611138
500,20241023b,fa/fa,Adult,F,Empa,128.54279,-1.961039999999997,126.58175,4.856261845013325,4.840888344500446,0.42061973994963453,-0.015373500512879446
534,20241024a,fa/fa,Adult,F,Empa,136.98703,-0.7505299999999977,136.2365,4.919886249813646,4.9143923460655445,1.233136870338564,-0.005493903748101658
562,20241024b,fa/+,Adult,M,Empa,123.284424,4.630805999999993,127.91523,4.814494076156429,4.851367778899868,-0.11277664781793463,0.036873702743438486
580,20241025a,fa/fa,Adult,F,Empa,140.22717,-2.3990499999999884,137.82812,4.9432637504039185,4.926007401622028,1.5316798548251973,-0.017256348781890196
610,20241028a,fa/fa,Adult,M,Empa,126.25282,-12.470039999999997,113.78278,4.838286404539674,4.734291192140558,0.19106390587990113,-0.10399521239911547
640,20241029a,fa/fa,Adult,M,Empa,135.28206,-6.5272600000000125,128.7548,4.907361932150317,4.857909820402304,1.073194743102563,-0.04945211174801312
679,20241029b,fa/+,Adult,F,Empa,140.70946,-2.2620699999999943,138.44739,4.946697197112465,4.930490397868313,1.5755267760769889,-0.016206799244152137
725,20241029c,fa/+,Adult,F,Empa,133.63025,8.324280000000016,141.95453,4.895076657628606,4.95550679505508,0.9163053225767759,0.06043013742647396
768,20241030a,fa/fa,Adult,F,Empa,129.48126,-0.34273999999999205,129.13852,4.863536160243318,4.860885626702109,0.5135165734016398,-0.0026505335412085884
803,20241030b,fa/fa,Adult,F,Empa,121.50021,-10.749749999999992,110.75046,4.799915991174172,4.707279562415491,-0.29894646447121864,-0.09263642875868072
